G_L_Account_No,Name,Account_Type,Account_Category,Income_Balance,Debit_Credit,Direct_Posting,Blocked,Indentation,Totaling,Consol_Translation_Method
B10120,Ord.Share Capital,Posting,,Balance Sheet,Both,true,false,0,,
B15110,Distr.Reser-Retained Inc,Posting,,Balance Sheet,Both,true,false,0,,
B35140,MV-Cost Opening Balance,Posting,,Balance Sheet,Both,true,false,0,,
B35160,MV Accum-Depr Open Balance,Posting,,Balance Sheet,Both,true,false,0,,
B35170,Furn-Cost Open Balance,Posting,,Balance Sheet,Both,true,false,0,,
B35200,Furn Accum-Depreciation,Posting,,Balance Sheet,Both,true,false,0,,
B35210,Equip-Cost Open Balance,Posting,,Balance Sheet,Both,true,false,0,,
B35240,Equip Accum-Depr,Posting,,Balance Sheet,Both,true,false,0,,
B35290,Comp Equip- Accum Depreciation,Posting,,Balance Sheet,Both,true,false,0,,
B35320,Computer Software,Posting,,Balance Sheet,Both,true,false,0,,
B35420,Deferred Tax,Posting,,Balance Sheet,Both,true,false,0,,
B40111,Investment in Aguka Unit Trust,Posting,,Balance Sheet,Both,true,false,0,,
B55140,Other Debtor - Claims Receivab,Posting,,Balance Sheet,Both,true,false,0,,
B55170,Drs-Accrued Income - Other,Posting,,Balance Sheet,Both,true,false,0,,
B55270,Sundry Debtors-SONARWA,Posting,,Balance Sheet,Both,true,false,0,,
B55360,Deposits,Posting,,Balance Sheet,Both,true,false,0,,
B55480,Drs-Income Control,Posting,,Balance Sheet,Both,true,false,0,,
B55550,Deposits-Sundry,Posting,,Balance Sheet,Both,true,false,0,,
B55570,Due to/from ZAAC,Posting,,Balance Sheet,Both,true,false,0,,
B60090,EQUITY BANK,Posting,,Balance Sheet,Both,true,false,0,,
B60160,NCBA Bank-US$ OFFICE,Posting,,Balance Sheet,Both,true,false,0,,
B60180,NCBA Office Bank Account,Posting,,Balance Sheet,Both,true,false,0,,
B60190,PETTY CASH - OFFICE,Posting,,Balance Sheet,Both,true,false,0,,
B60440,Bank Account- ZAAIB,Posting,,Balance Sheet,Both,true,false,0,,
B60450,Bank Account- ZAMARA AIIB LTD,Posting,,Balance Sheet,Both,true,false,0,,
B60460,AMIFA Account,Posting,,Balance Sheet,Both,true,false,0,,
B65190,Prepayments:C&P Prepayments,Posting,,Balance Sheet,Both,true,false,0,,
B65200,Provision for Bad Debts,Posting,,Balance Sheet,Both,true,false,0,,
B65290,Withholding IncomeTax,Posting,,Balance Sheet,Both,true,false,0,,
B70141,Tekana Scheme Payable,Posting,,Balance Sheet,Both,true,false,0,,
B70190,Withholding tax 5 %,Posting,,Balance Sheet,Both,true,false,0,,
B70230,Paymaster General (PAYE,Posting,,Balance Sheet,Both,true,false,0,,
B70235,Salaries and Wages,Posting,,Balance Sheet,Both,true,false,0,,
B70340,CRS-Trade (Operating),Posting,,Balance Sheet,Both,true,false,0,,
B70461,Deduction-Provident fund payable,Posting,,Balance Sheet,Both,true,false,0,,
B75120,Tax Provision-Other,Posting,,Balance Sheet,Both,true,false,0,,
B80170,VAT Control Account,Posting,,Balance Sheet,Both,true,false,0,,
