G_L_Account_No,Name,Account_Type,Account_Category,Income_Balance,Debit_Credit,Direct_Posting,Blocked,Indentation,Totaling,Consol_Translation_Method
6030/000,MV-Cost Opening Balance,Posting,Expense,Income Statement,Both,true,false,0,,
6040/000,MV-Depr.Prov.,Posting,Expense,Income Statement,Both,true,false,0,,
6060/000,Furn-Cost Open Balance,Posting,Expense,Income Statement,Both,true,false,0,,
6070/000,Furn-Additions this year,Posting,Expense,Income Statement,Both,true,false,0,,
6080/000,Furn-Depr Prov.,Posting,Expense,Income Statement,Both,true,false,0,,
6090/000,Furn Accum-Depreciation,Posting,Expense,Income Statement,Both,true,false,0,,
6110/000,Equip-Additions This Year,Posting,Expense,Income Statement,Both,true,false,0,,
6130/000,Equip Accum-Depr,Posting,Expense,Income Statement,Both,true,false,0,,
6140/000,Comp Equip-Cost Open Balance,Posting,Expense,Income Statement,Both,true,false,0,,
6150/000,Comp Equip-Add This Year,Posting,Expense,Income Statement,Both,true,false,0,,
6170/000,Comp Equip-Depr.Prov.,Posting,Expense,Income Statement,Both,true,false,0,,
6210/000,Computer Software,Posting,Expense,Income Statement,Both,true,false,0,,
6220/000,Comp SW-Depr.Prov.,Posting,Expense,Income Statement,Both,true,false,0,,
6300/000,Work In Progress,Posting,Expense,Income Statement,Both,true,false,0,,
6341/000,Deferred Tax,Posting,Expense,Income Statement,Both,true,false,0,,
6354/000,Fixed Deposit Account,Posting,Expense,Income Statement,Both,true,false,0,,
6357/000,Debtors Prepaid Other,Posting,Expense,Income Statement,Both,true,false,0,,
6366/000,Due to/from ZAAC,Posting,Expense,Income Statement,Both,true,false,0,,
6367/000,Other Receivables - General,Posting,Expense,Income Statement,Both,true,false,0,,
6368/000,Withholding Income Tax,Posting,Expense,Income Statement,Both,true,false,0,,
6390/000,Other Debtor - Claims Receivab,Posting,Expense,Income Statement,Both,true,false,0,,
6510/000,Drs-Other Debtors - Provisions,Posting,Expense,Income Statement,Both,true,false,0,,
6730/000,Drs-Income Control,Posting,Expense,Income Statement,Both,true,false,0,,
6821/000,ECOBANK -KWACHA A/C,Posting,Expense,Income Statement,Both,true,false,0,,
6822/000,ECOBANK FCD-US$,Posting,Expense,Income Statement,Both,true,false,0,,
6823/000,Summary: Cash at bank & on hand,Posting,Expense,Income Statement,Both,true,false,0,,
7230/000,OTHER PAYABLES-GENERAL,Posting,Expense,Income Statement,Both,true,false,0,,
7320/000,Prov-Leave Pay,Posting,Expense,Income Statement,Both,true,false,0,,
7340/000,Bonus Provision : New Business,Posting,Expense,Income Statement,Both,true,false,0,,
7370/000,Prov-Sundries,Posting,Expense,Income Statement,Both,true,false,0,,
7400/000,Withholding Tax Payable,Posting,Expense,Income Statement,Both,true,false,0,,
7410/000,CRS-Trade (Operating),Posting,Expense,Income Statement,Both,true,false,0,,
7420/000,Revaluation Surplus Account,Posting,Expense,Income Statement,Both,true,false,0,,
7450/000,VAT Control Account,Posting,Expense,Income Statement,Both,true,false,0,,
7471/000,FBT PROVISION ACCOUNT,Posting,Expense,Income Statement,Both,true,false,0,,
7481/000,DIRECTORS FEES PROVISION ACCOUNT,Posting,Expense,Income Statement,Both,true,false,0,,
7501/000,AUDIT FEES PROVISION ACCOUNT,Posting,Expense,Income Statement,Both,true,false,0,,
7510/000,PF Salary Clearance,Posting,Expense,Income Statement,Both,true,false,0,,
7521/000,SERVICE CHARGES PROVISION,Posting,Expense,Income Statement,Both,true,false,0,,
7550/000,Tax Provision-Other,Posting,Expense,Income Statement,Both,true,false,0,,
7600/000,Ord.Share Capital,Posting,Expense,Income Statement,Both,true,false,0,,
7610/000,Funds Awaiting Capitalisation,Posting,Expense,Income Statement,Both,true,false,0,,
7630/000,Share Premium,Posting,Expense,Income Statement,Both,true,false,0,,
7640/000,Distr.Reser-Retained Inc,Posting,Expense,Income Statement,Both,true,false,0,,
1750/500,M/C-Admin Fees,Posting,Expense,Income Statement,Both,true,false,0,,
1940/500,Investment Income on Reserves,Posting,Expense,Income Statement,Both,true,false,0,,
3000/200,Emol.Pack-Salaries,Posting,Expense,Income Statement,Both,true,false,0,,
3010/200,Emol.Pack-Other,Posting,Expense,Income Statement,Both,true,false,0,,
3020/200,Emol.Pack-Med.Contribut.,Posting,Expense,Income Statement,Both,true,false,0,,
3030/200,Emol.Pack-Pens.Contribut.,Posting,Expense,Income Statement,Both,true,false,0,,
3080/200,Co.Contrib-Life Assurance,Posting,Expense,Income Statement,Both,true,false,0,,
3200/200,Fringe Benefit Tax (FBT),Posting,Expense,Income Statement,Both,true,false,0,,
3240/200,Welfare-General,Posting,Expense,Income Statement,Both,true,false,0,,
3290/200,Other Staff Costs,Posting,Expense,Income Statement,Both,true,false,0,,
3350/200,MV-Depreciation,Posting,Expense,Income Statement,Both,true,false,0,,
3360/200,MV-Fuel Costs,Posting,Expense,Income Statement,Both,true,false,0,,
3380/200,Trav. Air Fares,Posting,Expense,Income Statement,Both,true,false,0,,
3410/200,Trav. Car Hire,Posting,Expense,Income Statement,Both,true,false,0,,
3390/200,Trav. Accom.,Posting,Expense,Income Statement,Both,true,false,0,,
3400/200,Trav. Sundry exp.,Posting,Expense,Income Statement,Both,true,false,0,,
3490/200,Conference Attended by Us,Posting,Expense,Income Statement,Both,true,false,0,,
3510/200,Management expenses,Posting,Expense,Income Statement,Both,true,false,0,,
3570/200,S/ware Depreciation,Posting,Expense,Income Statement,Both,true,false,0,,
3630/200,Summary:IT Recoveries,Posting,Expense,Income Statement,Both,true,false,0,,
3650/200,Telephone-Variable,Posting,Expense,Income Statement,Both,true,false,0,,
3720/200,Printing-General,Posting,Expense,Income Statement,Both,true,false,0,,
3790/200,Prem-Cleaning,Posting,Expense,Income Statement,Both,true,false,0,,
3800/200,Prem-Electricity,Posting,Expense,Income Statement,Both,true,false,0,,
3840/200,Prem-General,Posting,Expense,Income Statement,Both,true,false,0,,
3860/200,Prem-Maint.Offices,Posting,Expense,Income Statement,Both,true,false,0,,
3870/200,Prem-Rental(EXTERNAL),Posting,Expense,Income Statement,Both,true,false,0,,
3880/200,Prem-Parking(EXTERNAL),Posting,Expense,Income Statement,Both,true,false,0,,
3930/200,Bus.Advert-General,Posting,Expense,Income Statement,Both,true,false,0,,
3980/200,Insurance-Other,Posting,Expense,Income Statement,Both,true,false,0,,
3990/200,Furn-Depreciation,Posting,Expense,Income Statement,Both,true,false,0,,
4020/200,Equip-Maintenance,Posting,Expense,Income Statement,Both,true,false,0,,
4040/200,Equip-Depreciation,Posting,Expense,Income Statement,Both,true,false,0,,
4090/200,Prof.Fees-Directors Fees,Posting,Expense,Income Statement,Both,true,false,0,,
4080/200,Prof.Fees-Audit Fees,Posting,Expense,Income Statement,Both,true,false,0,,
4110/200,Prof.Fees-Legal Non Tax Deduct,Posting,Expense,Income Statement,Both,true,false,0,,
4220/200,Institute Subscriptions,Posting,Expense,Income Statement,Both,true,false,0,,
4230/200,Subscriptions General,Posting,Expense,Income Statement,Both,true,false,0,,
4290/200,MV - Running Costs (non personnel),Posting,Expense,Income Statement,Both,true,false,0,,
4300/200,Bank Charges,Posting,Expense,Income Statement,Both,true,false,0,,
4650/200,Taxation expense,Posting,Expense,Income Statement,Both,true,false,0,,
