G_L_Account_No,Name,Account_Type,Account_Category,Income_Balance,Debit_Credit,Direct_Posting,Blocked,Indentation,Totaling,Consol_Translation_Method
B10115,Funds Awaiting Capitalisation,Posting,Equity,Balance Sheet,Both,true,false,0,,
B10120,Ord.Share Capital,Posting,Equity,Balance Sheet,Both,true,false,0,,
B15110,Distr.Reser-Retained Inc,Posting,Equity,Balance Sheet,Both,true,false,0,,
B35170,Furn-Cost Open Balance,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35200,Furn Accum-Depreciation,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35210,Equip-Cost Open Balance,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35240,Equip Accum-Depr,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35420,Deferred Tax,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35421,Due from/to directors,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55422,Due to/from ZAAC TZ,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55427,Due from/to ZAAC Zanzibar,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55450,Due from Shareholders,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55480,Drs-Income Control,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55570,Due to/from ZAAC,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60190,PETTY CASH - OFFICE,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60260,UBA Office Account,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65150,Fixed Deposit Account,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65170,Instalment Tax Prepaid,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65180,Debtors Prepaid other,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65200,Provision for Bad Debts,Posting,Assets,Balance Sheet,Both,true,false,0,,
B65290,Withholding Income Tax,Posting,Assets,Balance Sheet,Both,true,false,0,,
B70280,Prov-Sundries,Posting,Assets,Balance Sheet,Both,true,false,0,,
B75120,Tax Provision-Other,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55340 ,Accrued interest,Posting,Assets,Balance Sheet,Both,true,false,0,,
B80170,VAT Control Account,Posting,Equity,Balance Sheet,Both,true,false,0,,
B55110,  Other Receivable,Posting,Assets,Balance Sheet,Both,true,false,0,,
 B55150 ,   Drs-Gen.Bad Debt Prov. ,Posting,Expense,Income Statement,Both,true,false,0,,
 B55425 , Due from/to ZATL ,Posting,Expense,Income Statement,Both,true,false,0,,
 B55340 ,   Interest Receivable ,Posting,Expense,Income Statement,Both,true,false,0,,
 B55400 ,   Drs Prepaid - Insurance Other ,Posting,Expense,Income Statement,Both,true,false,0,,
 B55490 ,   DUE TO/FROM ZAMARA HOLDING CO. ,Posting,Expense,Income Statement,Both,true,false,0,,
 B65290 ,   Withholding Income Tax - 5% ,Posting,Expense,Income Statement,Both,true,false,0,,
 B70193 , Withholding tax - 15% ,Posting,Expense,Income Statement,Both,true,false,0,,
 B70220 ,   National Social Security Fund ,Posting,Expense,Income Statement,Both,true,false,0,,
 B70230 ,   Paymaster General (PAYE ,Posting,Expense,Income Statement,Both,true,false,0,,
 B70235 , Salaries and Wages ,Posting,Expense,Income Statement,Both,true,false,0,,
 B70340 ,   CRS-Trade (Operating) ,Posting,Expense,Income Statement,Both,true,false,0,,
 B80140 ,   Current Tax ,Posting,Expense,Income Statement,Both,true,false,0,,
I10060,  Actuarial - Once-off,Posting,Income,Income Statement,Both,true,false,0,,
I10121,  Interest Income,Posting,Income,Income Statement,Both,true,false,0,,
I10094,Other Incomes,Posting,Income,Income Statement,Both,true,false,0,,
I25001,Emol.Pack-Salaries,Posting,Income,Income Statement,Both,true,false,0,,
I25002,Emol.Pack-Other,Posting,Income,Income Statement,Both,true,false,0,,
I25004,Emol.Pack-Pens.Contribut.,Posting,Income,Income Statement,Both,true,false,0,,
I25012,WCA,Posting,Income,Income Statement,Both,true,false,0,,
I25026,Training EXTERNAL,Posting,Income,Income Statement,Both,true,false,0,,
I25071,Prem-Cleaning,Posting,Income,Income Statement,Both,true,false,0,,
I25072,Prem-Electricity,Posting,Income,Income Statement,Both,true,false,0,,
I25074,Prem-Rates,Posting,Income,Income Statement,Both,true,false,0,,
I25079,Prem-Rental(EXTERNAL),Posting,Income,Income Statement,Both,true,false,0,,
I25080,Prem-Parking(EXTERNAL),Posting,Income,Income Statement,Both,true,false,0,,
I25114,Stationery-General,Posting,Income,Income Statement,Both,true,false,0,,
I25141,Prof.Fees-Audit Fees,Posting,Income,Income Statement,Both,true,false,0,,
I25142,Prof.Fees-Directors Fees,Posting,Income,Income Statement,Both,true,false,0,,
I25145,Prof.Fees-Other,Posting,Income,Income Statement,Both,true,false,0,,
I25158,Prof.Fees-Legal Non Tax Deduct,Posting,Income,Income Statement,Both,true,false,0,,
I25264,Furn-Depreciation,Posting,Income,Income Statement,Both,true,false,0,,
I25265,Equip-Depreciation,Posting,Income,Income Statement,Both,true,false,0,,
I25181,Trav. Air Fares,Posting,Income,Income Statement,Both,true,false,0,,
I25182,Trav. Accom.,Posting,Income,Income Statement,Both,true,false,0,,
I25232,Telephone-Variable,Posting,Income,Income Statement,Both,true,false,0,,
I25291,Entertainment-(IN TOWN),Posting,Income,Income Statement,Both,true,false,0,,
I25360,Bank Charges,Posting,Income,Income Statement,Both,true,false,0,,
I25367,Summary:Gen Exp Other,Posting,Income,Income Statement,Both,true,false,0,,
I25381,Management Fees,Posting,Income,Income Statement,Both,true,false,0,,
I25401,Insurance-P.I.,Posting,Income,Income Statement,Both,true,false,0,,
I25428,Software Maintenance,Posting,Income,Income Statement,Both,true,false,0,,
I25429,Software Licence Fees,Posting,Income,Income Statement,Both,true,false,0,,
I25455,MV - Leasing Costs (non personnel),Posting,Income,Income Statement,Both,true,false,0,,
 I25352 ,     Penalties ,Posting,Expense,Income Statement,Both,true,false,0,,
 I25358 ,     Subscriptions General ,Posting,Expense,Income Statement,Both,true,false,0,,
