G_L_Account_No,Name,Account_Type,Account_Category,Income_Balance,Debit_Credit,Direct_Posting,Blocked,Indentation,Totaling,Consol_Translation_Method
B35140,  MV-Cost Opening Balance,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35160,  MV Accum-Depr Open Balance,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35210,  Equip-Cost Open Balance,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35220,  Equip-Additions This Year,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35240,  Equip Accum-Depr,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35170,  Furn-Cost Open Balance,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35180,  Furn-Additions this year,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35200,  Furn Accum-Depreciation,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35280,  Comp Equip-Additions,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35290,Comp Equip- Accum Depreciation,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35350,  Leased Prem-Improvements,Posting,Assets,Balance Sheet,Both,true,false,0,,
B35370,  Lease Improv - Accum Ammortization,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55570,  Due to/from ZAAC,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55480,  Drs-Income Control,Posting,Assets,Balance Sheet,Both,true,false,0,,
B70280,  Prov-Sundries,Posting,Assets,Balance Sheet,Both,true,false,0,,
B55360,  Deposits,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60090,  EQUITY BANK,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60430,RAW BANK,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60190,  Petty Cash - Kinshasa,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60191,Petty Cash - Lubumbashi,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60192,Petty Cash - Goma,Posting,Assets,Balance Sheet,Both,true,false,0,,
B60193,Petty Cash - Bukavu,Posting,Assets,Balance Sheet,Both,true,false,0,,
B70400,  Other Payables-Refunds,Posting,Assets,Balance Sheet,Both,true,false,0,,
B75120,  Tax Provision-Other,Posting,Assets,Balance Sheet,Both,true,false,0,,
B80170,  VAT Control Account,Posting,Equity,Balance Sheet,Both,true,false,0,,
B10120,Ord.Share Capital,Posting,Equity,Balance Sheet,Both,true,false,0,,
B15110,Distr.Reser-RetainedInc,Posting,Equity,Balance Sheet,Both,true,false,0,,
B65130,  Due from/to AFRIB Transactional,Posting,Assets,Balance Sheet,Both,true,false,0,,
